-0.975,-0.975,0.35,0.054656659
-0.925,-0.975,0.35,0.054319674
-0.875,-0.975,0.35,0.053624492
-0.825,-0.975,0.35,0.052694054
-0.775,-0.975,0.35,0.051245546
-0.725,-0.975,0.35,0.049503665
-0.675,-0.975,0.35,0.047413598
-0.625,-0.975,0.35,0.044866329
-0.575,-0.975,0.35,0.041943615
-0.525,-0.975,0.35,0.038578587
-0.475,-0.975,0.35,0.034826034
-0.425,-0.975,0.35,0.030589893
-0.375,-0.975,0.35,0.025889298
-0.325,-0.975,0.35,0.020892148
-0.275,-0.975,0.35,0.015323734
-0.225,-0.975,0.35,0.009592614
-0.175,-0.975,0.35,0.003312094
-0.125,-0.975,0.35,-0.003075241
-0.075,-0.975,0.35,-0.009698569
-0.025,-0.975,0.35,-0.016423147
0.025,-0.975,0.35,-0.023206545
0.075,-0.975,0.35,-0.029889943
0.125,-0.975,0.35,-0.03652536
0.175,-0.975,0.35,-0.042934748
0.225,-0.975,0.35,-0.049202872
0.275,-0.975,0.35,-0.054910797
0.325,-0.975,0.35,-0.060511603
0.375,-0.975,0.35,-0.065467654
0.425,-0.975,0.35,-0.070240041
0.475,-0.975,0.35,-0.0743598
0.525,-0.975,0.35,-0.078164502
0.575,-0.975,0.35,-0.081583957
0.625,-0.975,0.35,-0.084421905
0.675,-0.975,0.35,-0.087107519
0.725,-0.975,0.35,-0.089171979
0.775,-0.975,0.35,-0.090929474
0.825,-0.975,0.35,-0.092343239
0.875,-0.975,0.35,-0.093237282
0.925,-0.975,0.35,-0.093990753
0.975,-0.975,0.35,-0.094320065
-0.975,-0.925,0.35,0.054988243
-0.925,-0.925,0.35,0.054736755
-0.875,-0.925,0.35,0.054031278
-0.825,-0.925,0.35,0.052946768
-0.775,-0.925,0.35,0.051549651
-0.725,-0.925,0.35,0.049911074
-0.675,-0.925,0.35,0.047838934
-0.625,-0.925,0.35,0.045261843
-0.575,-0.925,0.35,0.042339853
-0.525,-0.925,0.35,0.039174707
-0.475,-0.925,0.35,0.035201305
-0.425,-0.925,0.35,0.03091217
-0.375,-0.925,0.35,0.026284368
-0.325,-0.925,0.35,0.021178058
-0.275,-0.925,0.35,0.015615669
-0.225,-0.925,0.35,0.009784566
-0.175,-0.925,0.35,0.003614419
-0.125,-0.925,0.35,-0.002870605
-0.075,-0.925,0.35,-0.009577843
-0.025,-0.925,0.35,-0.016400676
0.025,-0.925,0.35,-0.023191828
0.075,-0.925,0.35,-0.030073664
0.125,-0.925,0.35,-0.036703025
0.175,-0.925,0.35,-0.043240763
0.225,-0.925,0.35,-0.049388801
0.275,-0.925,0.35,-0.055256175
0.325,-0.925,0.35,-0.060796178
0.375,-0.925,0.35,-0.065946087
0.425,-0.925,0.35,-0.07057482
0.475,-0.925,0.35,-0.074942274
0.525,-0.925,0.35,-0.078553373
0.575,-0.925,0.35,-0.082101201
0.625,-0.925,0.35,-0.0848129
0.675,-0.925,0.35,-0.08754692
0.725,-0.925,0.35,-0.089531983
0.775,-0.925,0.35,-0.091332743
0.825,-0.925,0.35,-0.092653463
0.875,-0.925,0.35,-0.093641557
0.925,-0.925,0.35,-0.094343817
0.975,-0.925,0.35,-0.094609796
-0.975,-0.875,0.35,0.055625135
-0.925,-0.875,0.35,0.05519936
-0.875,-0.875,0.35,0.054750721
-0.825,-0.875,0.35,0.053747075
-0.775,-0.875,0.35,0.05233243
-0.725,-0.875,0.35,0.050711067
-0.675,-0.875,0.35,0.048589653
-0.625,-0.875,0.35,0.046045167
-0.575,-0.875,0.35,0.043236306
-0.525,-0.875,0.35,0.039837542
-0.475,-0.875,0.35,0.035926004
-0.425,-0.875,0.35,0.031840987
-0.375,-0.875,0.35,0.027251307
-0.325,-0.875,0.35,0.022123894
-0.275,-0.875,0.35,0.016407825
-0.225,-0.875,0.35,0.010419831
-0.175,-0.875,0.35,0.004027845
-0.125,-0.875,0.35,-0.002444265
-0.075,-0.875,0.35,-0.00941954
-0.025,-0.875,0.35,-0.016290773
0.025,-0.875,0.35,-0.023415448
0.075,-0.875,0.35,-0.030334392
0.125,-0.875,0.35,-0.037068295
0.175,-0.875,0.35,-0.043717566
0.225,-0.875,0.35,-0.050124598
0.275,-0.875,0.35,-0.056142357
0.325,-0.875,0.35,-0.0617248
0.375,-0.875,0.35,-0.066677026
0.425,-0.875,0.35,-0.071530958
0.475,-0.875,0.35,-0.075744073
0.525,-0.875,0.35,-0.079534436
0.575,-0.875,0.35,-0.082924374
0.625,-0.875,0.35,-0.085722167
0.675,-0.875,0.35,-0.088352282
0.725,-0.875,0.35,-0.090354385
0.775,-0.875,0.35,-0.092028186
0.825,-0.875,0.35,-0.093398733
0.875,-0.875,0.35,-0.09435275
0.925,-0.875,0.35,-0.09495685
0.975,-0.875,0.35,-0.095341883
-0.975,-0.825,0.35,0.056650386
-0.925,-0.825,0.35,0.056337836
-0.875,-0.825,0.35,0.055647404
-0.825,-0.825,0.35,0.054749971
-0.775,-0.825,0.35,0.053524979
-0.725,-0.825,0.35,0.051929436
-0.675,-0.825,0.35,0.049745076
-0.625,-0.825,0.35,0.047323296
-0.575,-0.825,0.35,0.044536394
-0.525,-0.825,0.35,0.0411915
-0.475,-0.825,0.35,0.037507592
-0.425,-0.825,0.35,0.033243698
-0.375,-0.825,0.35,0.028399141
-0.325,-0.825,0.35,0.023208311
-0.275,-0.825,0.35,0.017542611
-0.225,-0.825,0.35,0.011429577
-0.175,-0.825,0.35,0.004965886
-0.125,-0.825,0.35,-0.001947235
-0.075,-0.825,0.35,-0.009021376
