% Model:              18feb2021_3DpreformWithCapillaryBreakup_jefferycoulter.mph
% Version:            COMSOL 5.6.0.280
% Date:               Apr 19 2021, 15:55
% Dimension:          3
% Nodes:              1600
% Expressions:        1
% Description:        Electrolyte potential
% Length unit:        mm
% X                       Y                        Z                        cd.phil (V)
-0.975                    -0.975                   0.35                     0.054656659025048675
-0.9249999999999999       -0.975                   0.35                     0.05431967447591824
-0.875                    -0.975                   0.35                     0.053624492119391874
-0.825                    -0.975                   0.35                     0.05269405370054715
-0.775                    -0.975                   0.35                     0.05124554615818777
-0.725                    -0.975                   0.35                     0.04950366478980816
-0.6749999999999999       -0.975                   0.35                     0.047413598054597744
-0.625                    -0.975                   0.35                     0.044866329473701304
-0.575                    -0.975                   0.35                     0.04194361481055066
-0.525                    -0.975                   0.35                     0.038578587184954924
-0.475                    -0.975                   0.35                     0.03482603381619556
-0.42499999999999993      -0.975                   0.35                     0.030589892619875724
-0.3749999999999999       -0.975                   0.35                     0.025889298227934215
-0.325                    -0.975                   0.35                     0.02089214807061583
-0.2749999999999999       -0.975                   0.35                     0.015323733672883484
-0.225                    -0.975                   0.35                     0.009592613813119924
-0.17499999999999993      -0.975                   0.35                     0.0033120944998177304
-0.12499999999999989      -0.975                   0.35                     -0.0030752409858099397
-0.07499999999999996      -0.975                   0.35                     -0.00969856890924008
-0.024999999999999915     -0.975                   0.35                     -0.01642314651538907
0.025000000000000022      -0.975                   0.35                     -0.023206545318648446
0.07500000000000008       -0.975                   0.35                     -0.029889942996252698
0.1250000000000001        -0.975                   0.35                     -0.03652536028169096
0.17500000000000016       -0.975                   0.35                     -0.04293474793535916
0.2250000000000002        -0.975                   0.35                     -0.04920287211669127
0.275                     -0.975                   0.35                     -0.05491079696301075
0.32500000000000007       -0.975                   0.35                     -0.06051160274344133
0.3750000000000001        -0.975                   0.35                     -0.06546765392255455
0.42500000000000016       -0.975                   0.35                     -0.07024004118556945
0.4750000000000002        -0.975                   0.35                     -0.0743598004284722
0.525                     -0.975                   0.35                     -0.07816450226535315
0.5750000000000001        -0.975                   0.35                     -0.08158395719506545
0.6250000000000001        -0.975                   0.35                     -0.08442190451655396
0.6750000000000002        -0.975                   0.35                     -0.08710751897390243
0.7250000000000002        -0.975                   0.35                     -0.08917197873039924
0.7750000000000001        -0.975                   0.35                     -0.09092947435162563
0.8250000000000001        -0.975                   0.35                     -0.09234323860016173
0.8750000000000001        -0.975                   0.35                     -0.09323728178195667
0.9250000000000002        -0.975                   0.35                     -0.09399075318064648
0.9750000000000002        -0.975                   0.35                     -0.09432006503849039
-0.975                    -0.9249999999999999      0.35                     0.05498824306700045
-0.9249999999999999       -0.9249999999999999      0.35                     0.05473675481231825
-0.875                    -0.9249999999999999      0.35                     0.054031277618912216
-0.825                    -0.9249999999999999      0.35                     0.052946768346820175
-0.775                    -0.9249999999999999      0.35                     0.0515496514892167
-0.725                    -0.9249999999999999      0.35                     0.04991107395320645
-0.6749999999999999       -0.9249999999999999      0.35                     0.04783893396995152
-0.625                    -0.9249999999999999      0.35                     0.045261842814758244
-0.575                    -0.9249999999999999      0.35                     0.04233985341544413
-0.525                    -0.9249999999999999      0.35                     0.039174707191965405
-0.475                    -0.9249999999999999      0.35                     0.03520130475392959
-0.42499999999999993      -0.9249999999999999      0.35                     0.030912169535550347
-0.3749999999999999       -0.9249999999999999      0.35                     0.026284367903963376
-0.325                    -0.9249999999999999      0.35                     0.021178057664387802
-0.2749999999999999       -0.9249999999999999      0.35                     0.015615668578673669
-0.225                    -0.9249999999999999      0.35                     0.009784566472990301
-0.17499999999999993      -0.9249999999999999      0.35                     0.0036144185384460476
-0.12499999999999989      -0.9249999999999999      0.35                     -0.002870605119605616
-0.07499999999999996      -0.9249999999999999      0.35                     -0.009577842536773197
-0.024999999999999915     -0.9249999999999999      0.35                     -0.016400675831802394
0.025000000000000022      -0.9249999999999999      0.35                     -0.02319182829989855
0.07500000000000008       -0.9249999999999999      0.35                     -0.03007366365371976
0.1250000000000001        -0.9249999999999999      0.35                     -0.036703024730149005
0.17500000000000016       -0.9249999999999999      0.35                     -0.04324076260179645
0.2250000000000002        -0.9249999999999999      0.35                     -0.0493888006177626
0.275                     -0.9249999999999999      0.35                     -0.055256174824076285
0.32500000000000007       -0.9249999999999999      0.35                     -0.06079617754644155
0.3750000000000001        -0.9249999999999999      0.35                     -0.0659460865710447
0.42500000000000016       -0.9249999999999999      0.35                     -0.0705748201430451
0.4750000000000002        -0.9249999999999999      0.35                     -0.07494227409352397
0.525                     -0.9249999999999999      0.35                     -0.07855337324858033
0.5750000000000001        -0.9249999999999999      0.35                     -0.08210120083736977
0.6250000000000001        -0.9249999999999999      0.35                     -0.0848129001600589
0.6750000000000002        -0.9249999999999999      0.35                     -0.08754691972833425
0.7250000000000002        -0.9249999999999999      0.35                     -0.0895319825294417
0.7750000000000001        -0.9249999999999999      0.35                     -0.09133274261512103
0.8250000000000001        -0.9249999999999999      0.35                     -0.09265346304373397
0.8750000000000001        -0.9249999999999999      0.35                     -0.09364155661936518
0.9250000000000002        -0.9249999999999999      0.35                     -0.09434381675537369
0.9750000000000002        -0.9249999999999999      0.35                     -0.09460979636967594
-0.975                    -0.875                   0.35                     0.05562513509360493
-0.9249999999999999       -0.875                   0.35                     0.055199359781389526
-0.875                    -0.875                   0.35                     0.054750720598780035
-0.825                    -0.875                   0.35                     0.053747074976587365
-0.775                    -0.875                   0.35                     0.052332429875786755
-0.725                    -0.875                   0.35                     0.05071106692048593
